close_approach_date_full,orbiting_body,relative_velocity.kilometers_per_second,miss_distance.lunar,miss_distance.kilometers
2012-Sep-07 08:40,Earth,14.2074404877,181.4367476027,69775195.324142741
2012-Sep-07 00:50,Earth,7.8883993345,95.0177360647,36541004.955016201
2012-Sep-07 22:03,Earth,7.3186982786,38.6444826659,14861522.606865197
2012-Sep-07 09:43,Earth,7.9772677315,173.152953586,66589493.67782638
2012-Sep-07 09:54,Earth,12.1333516642,140.2224276573,53925389.469823059
2012-Sep-07 16:54,Earth,3.1682145193,118.8458837623,45704604.290765209
2012-Sep-07 05:45,Earth,8.4495242718,27.9670914763,10755314.434317829
2012-Sep-07 19:24,Earth,22.4934452105,90.8493961784,34937984.984768072
2012-Sep-07 23:37,Earth,13.0237659663,154.1216728748,59270627.205416084
2012-Sep-07 05:14,Earth,21.2097513798,76.6211016181,29466204.624990523
2012-Sep-07 12:23,Earth,18.9580597638,179.5209720835,69038444.843241805
2012-Sep-07 09:52,Earth,15.4978151629,163.70843659,62957412.3776197
2012-Sep-07 05:27,Earth,16.4061690472,184.9887416516,71141186.953880828
2012-Sep-07 01:45,Earth,8.131355995,187.4475006424,72086752.783873192
2012-Sep-07 04:05,Earth,19.7047572965,188.4532032317,72473516.190589811
2012-Sep-07 17:06,Earth,19.6760889445,135.4753817681,52099816.323765023
2012-Sep-07 17:35,Earth,16.5818680996,166.2226814127,63924316.413955041
